id,poilon,poilat,Taxonomy,cat
7972,-1.1935160000000025,1.5929330000000022,City / Outdoors,Nature Parks and Other Similar Institutions
7979,-1.139456999999993,1.6538619999999966,Food,Full-Service Restaurants
7983,-1.4741439999999955,1.5468100000000007,Sports,Fitness and Recreational Sports Centers
7989,-1.2273469999999946,1.606656000000001,Service,Offices of Real Estate Agents and Brokers
7990,-1.2223910000000018,1.6023980000000009,Health,Offices of Dentists
7991,-1.269835999999998,1.5036360000000002,Entertainment,Amusement and Theme Parks
7995,-1.4271870000000035,1.6807149999999993,City / Outdoors,Libraries and Archives
8001,-1.3196169999999938,1.6315510000000017,Service,Passenger Car Rental
8005,-1.4368000000000052,1.9576220000000006,Health,Offices of Dentists
8009,-1.3629349999999931,1.624834,Service,Commercial Banking
8015,-1.1687179999999984,1.7059360000000012,Food,Full-Service Restaurants
8027,-1.2896089999999987,1.5831329999999966,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
8039,-1.3593410000000006,1.625754999999998,Food,Full-Service Restaurants
8040,-1.158332999999999,1.5890479999999982,Health,Offices of Dentists
8045,-1.155887000000007,1.621099000000001,City / Outdoors,Nature Parks and Other Similar Institutions
8046,-1.1511480000000063,1.7438530000000014,Food,Full-Service Restaurants
8048,-1.3113579999999985,1.6447280000000006,Health,Offices of Dentists
8074,-1.3378280000000018,1.647509999999997,Health,General Medical and Surgical Hospitals
8075,-1.0750069999999994,1.7694389999999984,Health,Offices of Dentists
8095,-1.1637510000000049,1.7055509999999998,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
8096,-1.2802169999999933,1.6307359999999989,Food,Full-Service Restaurants
8100,-1.2632080000000059,1.5564230000000023,Sports,Fitness and Recreational Sports Centers
8101,-1.1624000000000052,1.501209000000003,Service,Offices of Real Estate Agents and Brokers
8102,-1.137169,1.6576260000000005,Health,Offices of Dentists
8103,-1.437453000000005,1.9583239999999975,Food,Full-Service Restaurants
8107,-1.0479119999999966,1.7345949999999988,City / Outdoors,Nature Parks and Other Similar Institutions
8121,-1.3234649999999988,1.8926889999999972,Food,Full-Service Restaurants
8126,-1.3309480000000065,1.638257000000003,Food,Full-Service Restaurants
